[2026-09-01 17:31:39.444579] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=15.2% is z=3.9 above its own baseline (avg 0.9%)
[2026-09-01 17:31:39.444579] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 84 simultaneous network connections
[2026-09-01 17:31:39.444579] CPU_SPIKE | proc=chrome.exe pid=23680 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=12.9% is z=3.2 above its own baseline (avg 0.9%)
[2026-09-01 17:31:39.444579] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1483MB is z=6.9 above its own baseline (avg 132MB)
[2026-09-01 17:32:01.478032] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 177 simultaneous network connections
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=980MB is z=4.3 above its own baseline (avg 132MB)
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=758MB is z=3.2 above its own baseline (avg 132MB)
[2026-09-01 17:32:01.478032] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=14.8% is z=4.3 above its own baseline (avg 0.7%)
[2026-09-01 17:32:01.478032] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 62 simultaneous network connections
[2026-09-01 17:32:01.478032] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1475MB is z=6.9 above its own baseline (avg 132MB)
[2026-09-01 17:32:19.550780] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 199 simultaneous network connections
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=920MB is z=4.0 above its own baseline (avg 132MB)
[2026-09-01 17:32:19.550780] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.2 above its own baseline (avg 12MB)
